keys,en,de
credits,Credits here,Credits hier
new_game,Start,Neues Spiel
continue,Continue,Fortfahren
settings,Settings,Einstellungen
leave_game,Leave experience,Spiel verlassen
return_to_main,Return to main menu,Zum Hauptmenü
return_to_menu,Back to menu,Zurück
settings_volume_master_enabled,Master Enabled,Lautstärke an
settings_volume_master,Master Volume,Lautstärke (Allgemein)
settings_volume_music_enabled,Music enabled,Musik an
settings_volume_music,Music Volume,Musik Lautstärke
settings_volume_sound_enabled,Sound enabled,Sound an
settings_volume_sound,Sound Volume,Sound Lautstärke
settings_language,Experience Language,Spielsprache
game_paused,Experience paused,Spiel pausiert
resume_game,Resume experience,Weiterspielen
